ID,LexTALE,Score NR,Score TSR,Speed NR,Speed TSR
YAG,93.75,91.3,56.92,7.64,8.73
YMD,100,86.96,95.64,7.5,6.24
YTL,81.25,80.43,94.1,7.48,3.23
YRK,85,97.83,96.15,7.35,7.7
YRP,82.5,78.26,90,7.14,8.37
YSL,71.25,84.78,83.85,6.73,6.14
YFR,85,89.13,94.36,6.48,4.79
YIS,97.5,89.13,98.46,5.82,2.58
YLS,93.75,91.3,92.31,5.57,5.85
YAC,76.25,82.61,83.85,5.27,4.96
YSD,95,93.48,94.36,5.01,2.87
YDG,100,91.3,96.67,4.97,3.93
YDR,85,78.26,96.92,4.32,2.32
YFS,90,91.3,96.15,3.96,2.85
YAK,100,74.07,96.41,3.83,5.89
YHS,90,78.26,97.69,3.3,2.4
